RegionID,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08
12447,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2,412000,415000,413100,412100,411300,410100,408400,406800,405100,403300,401900,401000,399200,397100,395000,392700,390200,387400,384700,382100,379500,377200,375700,373800,371500,370000,370300,372100,375300,378600,382100,385600,389000,391800,396400,401500,405700,410700,418200,425500,432700,440400,448100,455200,461900,467800,472300,475700,479400,484000,489400,494200,498100,501800,505600,509000,512600,516000,518900,521700,525100,528900,532400,535300,538200,541000,544000,547200,550600,554200,558200,560800,562800,565600,569700,574000,577800,580600,583000,585100
54296,San Diego,CA,San Diego,San Diego,7,404300,406500,407600,407900,406500,404000,401200,398300,394900,392000,389600,387400,385300,383700,381800,379100,375800,373400,371600,368900,366500,365700,366600,367400,368500,369600,371200,373500,376900,379800,382500,386600,391900,397000,402000,406900,411100,415900,422200,429000,435600,442400,449000,454900,460500,464500,466300,468600,471700,474300,476000,477500,480000,483100,486100,488800,492200,494600,496400,498300,500800,503300,506000,508900,512100,515200,517700,519800,521800,524000,525700,526700,527800,529200,531000,533900,536900,537900,539000,540500
33839,San Jose,CA,San Jose,Santa Clara,9,511400,515800,517200,518100,517200,516200,515200,513800,513100,513800,515000,513900,508500,501200,495900,493000,493000,494600,496100,495100,492300,490300,488700,485600,483600,485700,489100,492800,498400,504600,512300,523100,533100,541600,551300,560400,566300,571800,580000,591800,605300,617700,627600,634100,638900,641900,645300,649700,655100,660900,667500,673600,679200,685400,690900,696500,703700,710100,714600,720100,725200,730600,738500,747500,756900,765800,772000,776400,780800,785600,789700,792100,795800,803100,811900,817600,819100,820100,821700,822700
20330,San Francisco,CA,San Francisco,San Francisco,11,708000,717600,713200,707900,701800,698700,697800,698100,701500,703600,701000,695000,689200,683200,678000,675500,676300,676000,672000,666300,662400,661900,662200,660800,658600,657900,661200,668900,677800,686900,699300,712500,723800,733000,743400,752000,757600,762400,770700,781600,794000,807000,818700,831300,844200,854500,863500,872200,880000,890300,903500,916400,927200,937200,946900,955900,960800,964000,969100,973200,979600,997700,1024900,1046000,1060700,1075700,1091300,1097700,1096300,1098300,1105800,1112300,1117400,1122700,1125200,1123200,1119800,1114800,1108800,1104000
18203,Fresno,CA,Fresno,Fresno,30,153300,152600,152200,151300,150200,149200,148600,147600,146000,143900,142100,140400,138800,137300,136600,135500,133700,131700,129600,128000,127800,127800,127200,126200,125300,125100,125700,127100,128700,130300,131600,132500,133400,135000,137500,139700,140900,141500,142300,144100,147000,149900,152100,154800,157200,159200,160900,163000,165000,166800,168000,168900,169500,170500,172000,173600,175200,176800,178200,179400,180100,180500,180800,181200,181900,183000,184500,185900,186700,187100,187600,187700,187900,189000,190200,191200,192700,194300,195800,197100
20288,Sacramento,CA,Sacramento,Sacramento,31,176600,176700,176300,175200,173900,172500,170700,168200,166500,165500,164100,162100,159500,156200,153400,152000,150900,149800,148500,147700,147300,147200,147000,146600,146000,145800,145900,145900,145900,146500,147800,149800,152600,155400,158200,161300,164600,167900,171200,175200,179800,184800,190700,196100,199900,202800,206000,208800,210800,212500,214600,217000,220200,222800,224300,225800,227700,229500,231200,232000,232400,234400,237300,238900,240700,243500,246400,249200,251500,253500,255500,257700,260400,263200,265900,268500,271100,273800,276500,278600
46298,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,33,390800,394000,392500,392100,392200,391800,390800,390200,388800,386400,384400,383000,381100,379000,376500,373500,370700,367800,364500,361500,358500,355800,353800,352100,350300,349400,350200,352700,356000,359400,362900,366100,368300,369900,373300,377700,381700,386900,394500,402000,408500,415500,422800,428900,434300,439100,442900,445700,448500,451500,454700,457700,460200,462000,463500,465700,468300,470700,472100,472500,473500,475800,478000,479800,481900,484100,486300,488900,492000,495300,499300,502600,505000,507500,511600,515100,517800,520300,522500,523600
13072,Oakland,CA,San Francisco,Alameda,39,360500,359700,355900,354900,355000,354500,352600,349700,347200,346000,345500,340700,333700,328500,323900,317600,312300,309200,307100,305300,303100,301300,300800,301300,300700,299500,300900,303500,305700,308200,311700,315500,319800,325500,332700,339100,344100,350200,359700,373200,387300,398300,406500,412800,417700,421700,425500,429200,433700,438800,444000,449100,454100,458400,463200,470000,476600,481300,485200,489800,494700,501700,510300,518200,526200,535000,543000,551000,560400,567900,573100,578300,584300,590800,596800,600700,604300,609100,614800,619800
16764,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,49,378800,381000,380600,382200,381900,379200,376200,373600,371200,368700,366700,364800,362700,361500,361000,360000,359100,357200,354100,350700,348600,348000,347800,346800,347300,348500,349300,349600,351200,353700,357600,361500,365400,369000,372800,376900,381500,387600,396400,405900,414300,421200,426400,431000,437200,442800,446500,448800,450600,454000,458700,461900,463500,466700,471300,475600,477400,478000,479600,482500,484600,486900,489700,492500,494800,497800,502300,507000,509800,512000,515300,518400,520500,522600,525400,528700,532200,535700,539200,542200
47568,Santa Ana,CA,Los Angeles-Long Beach-Anaheim,Orange,50,303800,308500,309000,309900,311500,313500,314500,314000,313200,313000,312800,311800,310300,308900,307300,305600,303400,301500,299000,296500,295200,295400,296000,297200,299400,301200,302500,303500,304400,305300,308700,314400,319800,323700,327900,332700,337300,342500,349700,357700,365100,371400,375800,378300,381200,385300,389400,392400,393900,394600,396300,399600,403500,407600,411400,414600,416800,418500,421100,424600,426300,426900,428500,431300,435000,439300,443800,448000,451500,453900,455300,456400,457800,460100,462500,464200,464400,464800,466900,469700
47401,Riverside,CA,Riverside,Riverside,54,207100,207400,208200,208000,207900,206900,204600,202800,202400,202700,203200,203100,202500,201800,201100,200700,199400,197200,195300,194300,193700,193700,194200,195300,196300,196700,197100,197200,197700,199700,202200,204100,205900,207800,210200,213800,218100,221800,225500,229700,233700,237600,242100,247600,252800,257200,261400,265500,269000,272500,275500,278300,281700,285700,288700,290200,291200,292400,292900,293100,293600,294300,295300,296900,299500,302900,306400,309400,311800,313200,313600,314300,316300,319200,322000,325100,328100,331000,333400,335200
3506,Bakersfield,CA,Bakersfield,Kern,57,151500,152200,151100,150400,150100,149700,149100,148300,147300,146400,145400,144200,142500,141000,140000,139200,137800,136400,135800,136100,136400,136200,136000,136300,136700,136800,137100,137700,138800,139600,140500,141300,143000,145300,147900,150400,152600,154900,158200,161800,165000,168100,171600,175700,179700,183300,186700,189800,191600,193000,194600,196200,197700,198900,199700,200700,201800,202800,203500,204100,204400,205500,207200,208200,208600,209400,210200,210400,210200,210000,210000,209600,209200,209700,210400,211000,211500,211900,212200,212400
7266,Stockton,CA,Stockton,San Joaquin,64,134600,135100,134600,135100,136000,136200,135400,134600,134300,133900,134000,134400,134900,134500,133600,132100,130400,129200,128700,128500,128500,128300,128400,127900,127000,126400,126200,126000,126100,126800,128200,130000,131500,132400,133600,135100,136200,137200,139100,141800,145100,149000,153000,156900,161000,164500,167800,170300,171100,171200,172600,174900,178100,182000,185900,188600,191300,194900,198200,200000,201000,202700,204800,206700,208800,211200,213300,215200,216900,218500,220500,221800,222300,223500,226000,228400,230300,232000,233900,235700
25934,Modesto,CA,Modesto,Stanislaus,69,137200,137000,137200,138200,138900,138500,137800,137500,137200,136700,136100,135200,134300,133100,131700,130000,128800,127800,126600,125100,124100,123500,123300,123500,123700,124000,125200,126500,127400,128300,129900,131800,133600,135300,136400,137200,138200,139600,141000,143000,146400,150800,155200,159700,164400,168300,171600,174900,177700,180200,183400,186600,189100,191800,193500,193700,194500,197500,200900,204000,206600,208700,211000,213500,215500,216600,217700,220000,222100,224000,226200,228100,229200,231000,232900,234000,235400,237900,240800,243100
