Year,State,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
2019,AK,1907.0,1634,273,1384,1118,266,523,516,7,161,158,3,269,170,99,231,134,97,38,36,2,111,85,26
2019,AL,3261.0,2070,1191,2519,1429,1090,742,641,101,236,207,29,369,230,139,350,221,129,19,9,10,292,223,69
2019,AR,2717.0,1302,1415,2303,972,1331,414,330,84,132,100,32,691,238,453,676,223,453,15,15,0,238,153,85
2019,AZ,10007.0,5475,4532,7538,3099,4439,2469,2376,93,745,723,22,1876,666,1210,1766,599,1167,110,67,43,910,598,312
2019,CA,151278.0,42846,108432,128777,25323,103454,22501,17523,4978,7044,5514,1530,41557,7887,33670,39275,6483,32792,2282,1404,878,10980,3261,7719
2019,CO,9619.0,7431,2188,7263,5228,2035,2356,2203,153,719,674,45,2187,1269,918,2106,1211,895,81,58,23,1068,792,276
2019,CT,3033.0,2577,456,2100,1648,452,933,929,4,305,303,2,214,141,73,202,129,73,12,12,0,195,182,13
2019,DC,6521.0,5913,608,3875,3267,608,2646,2646,0,815,815,0,1688,1377,311,1374,1063,311,314,314,0,297,262,35
2019,DE,921.0,826,95,565,489,76,356,337,19,116,111,5,168,131,37,119,86,33,49,45,4,65,61,4
2019,FL,28328.0,15852,12476,21265,9953,11312,7063,5899,1164,2171,1801,370,5729,1841,3888,5181,1456,3725,548,385,163,2472,1576,896
2019,GA,10443.0,6563,3880,7913,4169,3744,2530,2394,136,815,766,49,1137,470,667,1081,429,652,56,41,15,801,448,353
2019,GU,875.0,111,764,258,28,230,617,83,534,112,21,91,84,0,84,26,0,26,58,0,58,23,5,18
2019,HI,6412.0,2772,3640,4420,1234,3186,1992,1538,454,539,425,114,1767,304,1463,1592,226,1366,175,78,97,505,210,295
2019,IA,2315.0,2127,188,1574,1393,181,741,734,7,227,224,3,340,278,62,301,239,62,39,39,0,149,137,12
2019,ID,2315.0,1330,985,1516,831,685,799,499,300,243,161,82,449,252,197,356,186,170,93,66,27,201,129,72
2019,IL,10199.0,8310,1889,6513,4719,1794,3686,3591,95,1105,1080,25,1842,1369,473,1533,1072,461,309,297,12,690,536,154
2019,IN,5471.0,4829,642,3783,3170,613,1688,1659,29,544,536,8,366,314,52,314,264,50,52,50,2,572,529,43
2019,KS,2381.0,1906,475,1742,1284,458,639,622,17,209,205,4,399,202,197,337,154,183,62,48,14,189,155,34
2019,KY,4079.0,3300,779,3073,2352,721,1006,948,58,313,294,19,534,454,80,479,399,80,55,55,0,447,412,35
2019,LA,2941.0,1967,974,2416,1461,955,525,506,19,170,166,4,446,189,257,431,174,257,15,15,0,360,317,43
2019,MA,18471.0,17642,829,6259,5439,820,12212,12203,9,3766,3762,4,2370,2125,245,1392,1147,245,978,978,0,917,884,33
2019,MD,6561.0,5213,1348,4652,3437,1215,1909,1776,133,603,564,39,1295,716,579,1164,617,547,131,99,32,490,411,79
2019,ME,2106.0,2011,95,1232,1140,92,874,871,3,283,282,1,226,193,33,211,178,33,15,15,0,116,108,8
2019,MI,8575.0,7913,662,5212,4616,596,3363,3297,66,1022,1000,22,950,800,150,839,689,150,111,111,0,599,574,25
2019,MN,7977.0,6324,1653,4586,3137,1449,3391,3187,204,1028,968,60,1745,1113,632,1444,859,585,301,254,47,297,234,63
2019,MO,6179.0,5203,976,4173,3288,885,2006,1915,91,707,675,32,1062,744,318,912,598,314,150,146,4,488,393,95
2019,MP,1807.0,20,1787,423,18,405,1384,2,1382,297,1,296,42,18,24,22,16,6,20,2,18,4,0,4
2019,MS,1184.0,698,486,963,479,484,221,219,2,69,68,1,223,71,152,216,64,152,7,7,0,72,49,23
2019,MT,1357.0,1012,345,947,656,291,410,356,54,136,118,18,228,133,95,194,106,88,34,27,7,205,136,69
2019,NC,9314.0,7046,2268,6867,4889,1978,2447,2157,290,767,682,85,1271,736,535,1173,647,526,98,89,9,907,763,144
2019,ND,557.0,545,12,377,374,3,180,171,9,51,48,3,73,73,0,73,73,0,0,0,0,49,49,0
2019,NE,2365.0,2255,110,1715,1608,107,650,647,3,201,200,1,454,413,41,422,381,41,32,32,0,175,164,11
2019,NH,1396.0,1247,149,812,667,145,584,580,4,206,204,2,218,156,62,188,126,62,30,30,0,113,106,7
2019,NJ,8862.0,7380,1482,5895,4438,1457,2967,2942,25,993,984,9,1419,726,693,1311,624,687,108,102,6,551,485,66
