State,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/20/2020
Alabama,6,6,6.1,6.1,6.2,6.2,6.2,6.1,6.1,6,6,6,6,5.9,5.9,5.8,5.8,5.8,5.8,5.8,5.9,5.9,5.8,5.7,5.4,5.2,4.9,4.7,4.5,4.3,4.2,4.1,4,3.9,3.9,3.9,3.9,3.9,4,4,4,4,4,3.9,3.8,3.7,3.7,3.6,3.6,3.5,3.3,3.2,3,2.9,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,3,13.8,9.6,7.6,7.9,5.6,6.6
Alaska,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.6,6.6,6.7,6.7,6.8,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.8,6.8,6.7,6.7,6.6,6.6,6.5,6.5,6.4,6.4,6.3,6.3,6.2,6.2,6.1,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6,5.8,5.2,13.5,12.7,12.4,11.6,7.4,7.2
Arizona,6.4,6.3,6.3,6.2,6.1,6.1,6,6,5.9,5.9,5.8,5.7,5.6,5.5,5.5,5.5,5.4,5.4,5.4,5.3,5.3,5.2,5.2,5.2,5.1,5.1,5,5,4.9,4.8,4.8,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.9,4.9,4.8,4.8,4.8,4.8,4.7,4.6,4.6,4.5,4.5,4.5,4.5,4.5,6.1,13.4,9,10,10.7,5.9,6.7
Arkansas,5.6,5.5,5.5,5.4,5.3,5.1,5,4.8,4.7,4.5,4.4,4.3,4.2,4.2,4.1,4,4,4,4,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5,5,10.8,9.6,8.1,7.1,7.4,7.3
California,6.8,6.7,6.6,6.5,6.4,6.2,6.1,6,5.9,5.8,5.8,5.7,5.7,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.3,5.2,5.1,5,4.9,4.9,4.8,4.8,4.7,4.6,4.6,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.2,4.2,4.1,4,4,3.9,3.9,3.9,3.9,3.9,3.9,3.9,5.5,16.4,16.4,14.9,13.5,11.2,11
Colorado,4.3,4.2,4.2,4.1,4.1,4,3.8,3.7,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.1,3,2.9,2.8,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.9,2.9,2.9,2.9,3,3,3,3.1,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.2,3.2,3.1,3,2.9,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.5,2.5,2.5,5.2,12.2,10.2,10.6,7.4,6.7,6.4
Connecticut,6.1,6,5.9,5.8,5.7,5.7,5.6,5.6,5.6,5.6,5.6,5.5,5.5,5.4,5.4,5.3,5.3,5.2,5.2,5.1,5,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.4,4.3,4.2,4.2,4.1,4,4,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.7,3.8,3.4,8.3,9.6,10.1,10.2,8.1,7.8
Delaware,5.1,5,5,4.9,4.9,4.9,4.8,4.8,4.8,4.7,4.7,4.7,4.6,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.4,4.4,4.3,4.3,4.2,4.1,4.1,4,3.9,3.9,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.5,3.6,3.6,3.7,3.7,3.8,3.9,3.9,4,4,4,4,3.9,5,14.9,15.9,12.6,10.5,8.9,8.2
District of Columbia,7.4,7.3,7.2,7.1,7,6.9,6.8,6.7,6.6,6.6,6.5,6.5,6.4,6.3,6.2,6.1,6.1,6.1,6.1,6,6,6,6,6,6,6.1,6.1,6.1,6.2,6.2,6.2,6.1,6.1,6,5.9,5.8,5.8,5.8,5.8,5.8,5.7,5.7,5.7,5.6,5.6,5.6,5.7,5.7,5.8,5.8,5.7,5.6,5.5,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.2,5.1,6,11.7,8.8,8.7,8.5,8.6,8.7
Florida,5.8,5.7,5.7,5.6,5.6,5.5,5.4,5.4,5.3,5.2,5.1,5.1,5,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4,4,4,3.9,3.9,3.8,3.7,3.7,3.6,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.2,3.2,3.1,3,2.9,2.9,2.8,2.9,2.8,2.8,4.4,13.8,13.7,10.3,11.4,7.3,7.6
