RegionName,StateName,SizeRank,RegionID,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020
United States,Country,0,102001,190722,191467,192335,193235,194147,194958,195762,196619,197508,198376,199162,200029,200974,201943,202802,203695,204603,205589,206595,207614,208639,209674,210781,211863,212927,213967,215085,216251,217412,218575,219690,220823,221997,223230,224495,225747,226951,228197,229454,230737,232039,233298,234470,235471,236343,237131,237923,238736,239581,240340,241011,241689,242583,243602,244535,245213,245758,246285,246873,247568,248440,249439,250595,251849,253057,254320,255845,257804,260091,262604
"New York, NY",NY,1,394913,408905,410065,410802,411779,412581,413688,414619,415493,416407,417359,418819,419962,420736,421362,422204,423520,424585,425627,426734,428045,429411,430881,432314,433948,435903,437564,439374,440655,442890,445151,447912,450356,452608,454555,456262,457931,459983,462450,465030,467602,469713,471615,472780,473915,475143,476661,478155,479256,479821,480150,480588,481211,482096,483035,483894,484236,483753,482947,482289,482471,483191,484139,485177,486507,488000,489895,492468,495908,500412,505569
"Los Angeles-Long Beach-Anaheim, CA",CA,2,753899,526530,530547,534737,537106,539643,542210,544914,548032,551280,555165,557811,562379,564874,568181,569994,574108,577661,580842,583576,587151,591039,594809,597606,599360,602978,605665,609333,611609,615341,619094,622610,625529,628435,631379,636362,641369,645551,649631,653670,658051,661481,665083,667148,667559,666708,667134,667575,666909,665738,662957,660474,659849,663434,667996,670101,670395,671524,673524,674835,676910,680279,685435,690691,695044,696786,698190,702883,710534,718779,726379
"Chicago, IL",IL,3,394463,206017,206142,206800,207924,208932,209143,209346,209612,209998,210291,210682,211312,212068,213319,214310,215104,215692,216536,217658,218687,219517,220322,221347,222483,223786,224860,226202,227365,228420,229113,229637,230366,231260,232409,233475,234666,235838,236694,237156,237691,238478,239568,240298,240931,241461,241879,242264,242471,242536,242815,243175,243859,244563,245177,245575,245673,245327,244941,244525,244507,244738,245092,245678,246204,246794,247545,248846,250588,252917,255532
"Dallas-Fort Worth, TX",TX,4,394514,177328,178799,180484,182120,183830,185516,187293,188837,190298,191663,193190,194883,196462,198051,199586,201311,203179,204956,206934,208632,210385,212032,213870,215755,217422,219161,220663,222383,223992,225663,227108,228608,230344,232219,233942,235395,236803,238478,240323,242059,243523,244954,246190,247349,248117,249013,249936,251232,252499,253336,253785,254156,254860,255439,256053,256584,257429,257640,257833,257740,258147,258784,259781,260955,262153,263579,265256,267187,269202,271831
"Philadelphia, PA",PA,5,394974,214903,215102,215486,216077,216419,216493,216605,216988,217360,217496,217536,217502,217625,217900,218159,218576,219048,219893,220596,221295,221875,222610,223340,224257,225259,226065,226636,227110,227811,228510,229144,229846,230630,231680,232638,233584,234341,235415,236825,238241,239339,240112,240852,241443,242163,242712,243522,244158,244981,245618,246601,247290,248234,248883,249720,250267,250657,250896,251162,251620,252346,253257,253988,255191,256536,258494,260592,263245,266235,269695
"Houston, TX",TX,6,394692,181108,182352,183775,185218,186591,187660,188404,189045,189694,190640,191367,192010,192858,193686,194219,194456,195012,195676,196503,196997,197448,197748,198541,199453,199961,200512,201159,201943,202401,202837,203261,203650,204072,204567,205145,205712,206306,206779,207357,208382,209499,210431,211118,212070,212986,213731,214210,214790,215887,216825,217366,217343,217637,218320,219142,219675,219734,220003,220331,220950,221157,221584,222316,223317,224164,224876,225676,226667,228130,229613
"Washington, DC",DC,7,395209,378215,378695,379453,379899,380143,380423,380905,381194,381310,381827,382253,382996,383587,383349,383317,384078,385925,387291,388309,389084,390315,391272,392351,393711,395645,397990,399329,400124,400055,400774,401714,403345,404692,406200,407708,408567,409222,409760,411210,412859,414963,416709,418147,418723,419006,419329,419632,420817,422368,424211,425577,426483,427571,428564,429054,429741,430580,431988,433324,434503,435581,436644,438080,440133,442240,444715,447972,451650,455719,459656
"Miami-Fort Lauderdale, FL",FL,8,394856,223142,224872,226193,227788,229038,230508,231577,232914,234551,236073,237950,239523,241398,242946,244503,246106,247739,249750,251759,253492,254829,256136,257691,259338,260880,262251,263374,264804,266174,267485,268659,270357,272077,273949,274841,276009,276759,278340,280158,281722,283467,284757,286384,287402,288257,288697,290201,291607,293008,292736,292877,293177,293688,294528,295287,295784,295891,296351,296934,297445,298110,299741,301051,302382,303555,304793,306059,307858,310191,312574
"Atlanta, GA",GA,9,394347,170728,171496,172166,172961,174002,175232,176189,177174,178136,179053,179925,180664,181729,182780,184195,185562,186747,187568,188278,189100,189803,190859,192005,193491,194570,195778,196883,198087,199337,200826,202449,203851,205482,206941,208587,210216,212144,213987,215471,216885,218411,220143,221839,223443,224957,226474,227844,228930,229809,230598,231787,233058,234432,235300,236111,236916,237684,238265,238857,239662,240738,241954,243136,244361,245541,247073,248752,250654,252721,255109
"Boston, MA",MA,10,394404,394199,397070,398870,399260,399986,401081,403545,405905,407828,410030,411551,412848,414406,416226,418360,420626,423219,425479,426479,427732,429942,432185,434822,436938,438642,439971,441593,444261,446655,449245,452330,454548,456820,458566,461467,463693,465919,468391,471641,474476,477096,479385,481198,482494,482690,483554,483938,484902,485449,486061,485480,485365,485842,487919,489091,489695,490345,490862,491665,492418,494167,496039,498675,501288,503975,505949,509201,513770,519286,525223
"San Francisco, CA",CA,11,395057,779321,785545,796007,806602,816232,825546,836922,849400,861892,871173,876277,881395,891335,900142,902919,904631,907082,911053,909194,907602,905686,910300,914930,921386,924424,928713,933798,938445,943920,950167,960176,968514,979881,989564,1003945,1017975,1031122,1039743,1050052,1063191,1078178,1090120,1098076,1104790,1106688,1106169,1100633,1090024,1079833,1074182,1069583,1069470,1073948,1079264,1081263,1075836,1074600,1073445,1074825,1079397,1086411,1092251,1097133,1097974,1094919,1093202,1096055,1106275,1115632,1126793
"Detroit, MI",MI,12,394532,131434,132147,133063,133721,134189,134504,134970,135614,136121,136684,137279,138241,139093,139946,140455,141591,142705,143971,145051,146024,147225,148439,149527,150369,151196,152170,153397,154411,155680,156812,157806,158830,159809,160855,161942,162958,164333,165653,167090,168449,169757,171184,172365,173313,174178,174944,175754,176605,177202,177712,177612,177764,178723,180322,181735,182197,182293,182324,182517,182768,183373,184100,185311,186546,187265,187604,188407,190248,192610,195270
"Riverside, CA",CA,13,395025,291739,292916,294173,296034,297126,298627,299820,301688,303742,305257,306867,308717,310680,312225,313843,315293,317214,318433,320668,322506,324055,325315,326788,328595,330320,331816,333701,335987,338004,340756,342102,344379,346275,349076,351459,353673,355912,358805,361208,363335,365791,367836,369772,370330,371416,371388,372129,371992,373545,374247,375564,376163,377324,378523,379584,380067,380011,381122,382042,384059,384847,386243,387602,389885,391911,394279,397397,401804,406840,411728
"Phoenix, AZ",AZ,14,394976,202761,203068,204791,207095,209178,210233,211980,213561,215481,216482,217275,218059,219906,221282,222162,223036,224097,225388,225763,226742,227804,229599,231315,232593,233431,234516,235861,237174,238313,239756,241695,242935,244269,245550,247093,248375,249953,251993,253852,255484,257176,258891,260436,261666,262976,263970,264872,265906,267155,268327,269338,269751,270927,272608,274633,276390,277644,279165,280844,282967,285093,287180,289695,293100,296172,299037,301949,305727,310220,315045
"Seattle, WA",WA,15,395078,336072,338405,341047,343052,346444,348791,351603,355351,359554,363391,366739,369729,372363,375812,379801,384185,387893,391583,395574,399023,402542,405616,410014,414617,419199,423344,427044,431749,436627,442333,448197,453415,457733,462698,466727,471550,476337,482829,488968,494172,498231,500778,501244,501024,502263,503210,503287,501319,499721,497514,495738,494271,495854,498192,501095,502592,503633,504509,506681,510202,514268,518383,522904,527952,531714,536024,541528,549378,557819,567205
"Minneapolis-St Paul, MN",MN,16,394865,223768,225003,226004,227355,228126,228846,229668,230490,231635,232620,233774,234878,236319,237510,238481,239099,239603,240521,241770,243554,245053,246664,247991,249191,250056,250920,252215,253924,255984,257817,259352,260332,261357,262255,263606,265134,267032,268924,270831,272452,273924,275081,276211,277525,278701,279814,280666,281530,282547,283385,283875,284400,285389,286936,288304,289051,289830,290530,291489,292423,293366,294551,296035,297710,299174,300555,302306,304728,307382,310357
"San Diego, CA",CA,17,395056,461553,461169,466370,470925,475442,476016,477285,479621,482477,485783,488300,492644,499572,502013,501148,501113,502767,506507,507490,511339,514657,518949,521595,523906,523511,526352,530938,537055,542799,546535,549924,551146,554066,557415,560455,563974,570183,576154,579615,579114,578484,579937,582416,584983,585393,585624,585553,584942,581873,579642,578420,581460,584326,588612,592010,593848,593785,593269,594771,597438,601677,605164,609395,612525,616556,619454,623413,629694,638998,649474
"St. Louis, MO",MO,18,395121,146301,146619,146997,147587,147959,148330,148649,149139,149614,150004,150322,150906,151587,152285,152774,153188,153731,154365,155072,155542,156104,156847,157843,158555,159182,159767,160475,161179,161665,162231,162756,163564,164435,165128,165628,165971,166422,166733,167397,168074,168980,169542,170185,170786,171268,171869,172475,173188,174030,174955,175839,176338,176967,177457,177793,177787,177895,178170,178531,179065,179492,180027,180508,181403,182247,183479,184933,186772,188734,190720
"Tampa, FL",FL,19,395148,152008,152993,153716,154653,155338,156531,157607,158862,160105,161410,162539,163838,165471,167385,169155,170472,171886,173007,174408,175759,177263,178389,179939,181450,182971,183799,184713,186211,187966,189834,191383,193037,194351,195713,196947,198065,199094,200711,202715,204476,205721,206889,207928,208956,210084,211296,212346,213589,214769,215351,215514,215784,216716,217555,218656,219165,219722,220214,221115,221960,222971,224372,225983,227638,229103,230804,232577,234973,237537,240308
"Baltimore, MD",MD,20,394358,266843,266838,267141,266792,266870,266786,267061,267245,267761,268199,268008,268128,268463,269498,269964,270692,271557,272315,273395,274098,275247,276001,277216,278155,279031,279369,279825,280768,281417,282237,282156,282434,282629,283495,284515,285658,286538,287361,288406,289290,290127,290789,291621,292308,292763,292877,292971,292758,292891,293394,293793,294272,294828,295485,295945,295876,295672,295396,295237,295509,295962,296427,297084,297908,299013,300355,302216,304783,307897,311464
"Denver, CO",CO,21,394530,304796,308442,312144,315565,318948,322501,325734,329547,333360,337294,340751,343996,346546,349244,352064,355176,358058,360582,363557,366450,368983,371265,373826,376583,379657,382783,386103,388829,391239,393529,395373,397034,399064,401591,403975,406733,409158,411512,413528,416138,419299,422316,425114,427383,429552,431254,433122,433652,433834,434417,435296,436305,436590,437535,438423,439261,439667,439972,440263,441317,443269,445039,446884,448666,451041,453276,456030,459441,463498,468128
"Pittsburgh, PA",PA,22,394982,133175,133199,133260,133632,134420,135091,135618,135981,136477,137007,137421,137717,138526,139501,140229,140460,140454,140789,141036,141453,141583,141909,142221,142854,142856,143071,143184,143913,144476,144985,145574,146217,147031,147627,148223,148684,149363,149700,150782,151852,153071,153678,154185,154642,155097,155517,155850,156200,156918,157938,158437,158669,159586,160803,161687,161796,161741,162030,162543,163300,163802,164290,164970,165903,166419,167163,168351,170317,172557,174771
"Portland, OR",OR,23,394998,295533,297840,300362,302195,304519,307197,310164,313656,317007,320801,324351,327790,331068,333620,336786,340424,344561,348363,352370,355424,358695,361241,363596,366188,368903,372048,374320,376943,378915,380363,381300,382815,384573,386270,388232,390237,391920,394287,397004,399001,400417,401890,403825,404924,405065,404964,405390,406476,407549,408056,407588,407973,408549,409471,409948,410466,410849,411838,412640,413711,414703,415924,418133,420225,422860,425607,428877,432768,437567,442464
