State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
AK,1878,1486,1333,70.98%,1374,504,0,211,677,1169,32,15,160,1374,1063,935,68.05%,194,41,129,420,928,26,0,80,504,423,398,78.97%,82,257,241,6,15,80,0,0,0,.,0,0,0,0,0,0,238,237,237,99.58%,36,135,103,0,25,0,987,987,505,51.17%,94,286,701,0,458,0,423,71,71,71,100.00%,0,0,71,0,0,0
AL,2701,2204,1534,56.79%,1937,730,34,319,982,1669,50,158,138,1937,1587,1088,56.17%,46,46,207,673,1236,28,112,65,730,583,412,56.44%,112,309,399,22,46,73,34,34,34,100.00%,0,0,34,0,0,0,208,208,208,100.00%,47,123,85,0,71,7,3166,3166,1876,59.25%,286,811,2355,0,1323,4,953,8,8,0,0,0,0,8,0,0,0
AR,1917,1324,689,35.94%,1497,420,0,242,808,1085,24,106,78,1497,966,442,29.53%,20,198,187,655,818,24,47,42,420,358,247,58.81%,55,153,267,0,59,36,0,0,0,.,0,0,0,0,0,0,300,300,300,100.00%,35,109,191,0,49,0,1191,1191,637,53.48%,260,485,706,0,538,0,209,0,0,0,.,0,0,0,0,0,0
AZ,6568,5277,4649,70.78%,3787,2713,68,888,3112,3410,46,623,197,3787,2915,2694,71.14%,136,161,426,1636,2113,38,107,79,2713,2294,1887,69.55%,462,1476,1229,8,463,118,68,68,68,100.00%,0,0,68,0,53,0,2512,2447,2510,99.92%,471,1691,821,0,470,71,9238,9238,8094,87.62%,759,2522,6716,0,2582,52,2058,315,315,315,100.00%,59,254,61,0,29,10
CA,46306,41794,30687,66.27%,31028,14969,309,6435,20804,25257,245,3123,2562,31028,28236,20764,66.92%,4334,652,4047,13596,17205,227,850,855,14969,13249,9634,64.36%,2388,7208,7743,18,2034,1707,309,309,289,93.53%,0,0,309,0,239,0,20441,19426,18679,91.38%,4506,14646,5793,2,1866,504,65397,64987,48295,73.85%,6310,19569,45811,17,20662,817,30539,4695,4658,2707,57.66%,774,2194,2501,0,406,76
CO,8196,7631,3763,45.91%,4796,3337,63,1451,3227,4945,24,394,182,4796,4289,1891,39.43%,726,378,632,1160,3622,14,37,86,3337,3304,1834,54.96%,819,2067,1260,10,319,96,63,38,38,60.32%,0,0,63,0,38,0,1137,1075,1074,94.46%,242,809,315,13,210,56,4862,4849,3373,69.37%,518,927,3872,63,2105,95,3816,662,662,332,50.15%,18,41,621,0,25,0
CT,2697,2385,2296,85.13%,2147,545,5,354,1144,1537,16,184,129,2147,1906,1856,86.45%,291,119,272,941,1190,16,19,21,545,474,435,79.82%,82,203,342,0,160,108,5,5,5,1,0,0,5,0,5,0,1020,1020,1020,100.00%,160,514,506,0,229,3,7151,7080,5855,81.88%,770,2292,4859,0,1098,27,5310,0,0,0,.,0,0,0,0,0,0
DC,6156,5832,5461,88.71%,4651,1505,0,892,2872,3269,15,169,561,4651,4588,4437,95.40%,739,100,667,2267,2369,15,0,135,1505,1244,1024,68.04%,225,605,900,0,169,426,0,0,0,.,0,0,0,0,0,0,5904,5904,5904,100.00%,1834,5617,287,0,47,0,7546,7423,6466,85.69%,1276,3983,3563,0,1416,71,7546,2307,2307,2307,100.00%,625,1938,369,0,19,0
DE,1014,941,486,47.93%,577,437,0,198,452,558,4,58,15,577,504,298,51.65%,0,247,79,206,367,4,16,4,437,437,188,43.02%,119,246,191,0,42,11,0,0,0,.,0,0,0,0,0,0,131,131,131,100.00%,28,80,51,0,44,0,904,904,737,81.53%,63,177,727,0,167,0,724,100,100,85,85.00%,0,0,100,0,12,0
FL,18617,16090,13742,73.81%,11595,6805,217,1945,7267,10936,414,1321,907,11595,9535,8733,75.32%,428,769,1221,4822,6430,343,264,507,6805,6338,4792,70.42%,724,2445,4289,71,914,400,217,217,217,100.00%,0,0,217,0,143,0,6161,6083,6053,98.25%,1410,4693,1461,7,970,221,18547,18547,14751,79.53%,2263,6167,12380,0,7952,172,10498,1993,1993,1285,64.48%,253,646,1347,0,96,17
